2026-07-28T15:57:27.698881Z [info     ] Iniciando ingesta Bronze       layer=bronze module_name=lakehouse.pipeline.ingestion run_id=run_20260728_155727
2026-07-28T15:57:28.041615Z [info     ] Total pages detected: 104      layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:57:28.042018Z [info     ] Page 1: 9 articles             layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:57:28.207536Z [info     ] Page 2: 9 articles             layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:57:28.377406Z [info     ] Page 3: 9 articles             layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:57:28.596283Z [info     ] Page 4: 9 articles             layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:57:28.894162Z [info     ] Page 5: 9 articles             layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:57:29.060920Z [info     ] Page 6: 9 articles             layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:57:29.229222Z [info     ] Page 7: 9 articles             layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:57:29.419129Z [info     ] Page 8: 9 articles             layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:57:29.590992Z [info     ] Page 9: 9 articles             layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:57:29.892878Z [info     ] Page 10: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:57:30.068144Z [info     ] Page 11: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:57:30.251834Z [info     ] Page 12: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:57:30.441526Z [info     ] Page 13: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:57:30.617748Z [info     ] Page 14: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:57:30.797173Z [info     ] Page 15: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:57:30.964470Z [info     ] Page 16: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:57:31.131262Z [info     ] Page 17: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:57:31.306573Z [info     ] Page 18: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
